cif,formula,energy,formation_energy,formation_energy_per_atom,uid
Ca1Sn1Te1Cl3_1_2885.vasp,Ca1Sn1Te1Cl3,-9.85291297,-7.583885153179348,-1.2639808588632246,2885
Ca1Sn2_164_2888.vasp,Ca1Sn2,-1.83142575,-0.1924405126086956,-0.0641468375362318,2888
Ca1Sn2N2_115_2886.vasp,Ca1Sn2N2,-16.67564473,-9.267969702608694,-1.8535939405217388,2886
Ca1Sn2S1Br2Cl1O1_1_2887.vasp,Ca1Sn2S1Br2Cl1O1,-17.83614268,-13.823104600733693,-1.7278880750917116,2887
Ca1Sn3S4Br4_3_2889.vasp,Ca1Sn3S4Br4,-23.1089788,-15.835231583913044,-1.3196026319927536,2889
Ca1Sn4S9_25_2890.vasp,Ca1Sn4S9,-35.40135623,-21.162293722717383,-1.5115924087655277,2890
Ca1Ta2O7_123_2891.vasp,Ca1Ta2O7,-61.33069537,-49.02144541,-4.902144541,2891
Ca1Te2F2_1_2893.vasp,Ca1Te2F2,-8.04346897,-5.451091419999999,-1.090218284,2893
Ca1Te2H2_5_2894.vasp,Ca1Te2H2,-10.74785945,-4.909532479999999,-0.981906496,2894
Ca1Th1Br6_25_2896.vasp,Ca1Th1Br6,-18.2050657,-13.235864154999998,-1.6544830193749998,2896
Ca1Ti8S16_164_2897.vasp,Ca1Ti8S16,-125.52089703,-67.27432449666667,-2.6909729798666664,2897
Ca1Zn1S1I1Cl1O1_1_2899.vasp,Ca1Zn1S1I1Cl1O1,-11.82381024,-7.823597833125,-1.3039329721875,2899
Ca1Zn2P2O2_12_2900.vasp,Ca1Zn2P2O2,-13.50369536,-2.20994438,-0.3157063399999999,2900
Ca2_65_3141.vasp,Ca2,3.07234894,3.97999206,1.98999603,3141
Ca2Ag1Br2O2_38_2901.vasp,Ca2Ag1Br2O2,-16.96740705,-12.821535495,-1.8316479278571427,2901
Ca2Ag1Cl2O2_38_2903.vasp,Ca2Ag1Cl2O2,-18.06900023,-13.89304203125,-1.984720290178572,2903
Ca2Ag1Cl2O2_5_2902.vasp,Ca2Ag1Cl2O2,-18.12670597,-13.95074777125,-1.9929639673214288,2902
Ca2Ag1I2O2_38_2904.vasp,Ca2Ag1I2O2,-15.33118219,-11.7969272,-1.6852753142857142,2904
Ca2Ag1O2F2_38_2905.vasp,Ca2Ag1O2F2,-20.23419208,-16.33586823,-2.3336954614285714,2905
Ca2Ag1S2Br2_38_2907.vasp,Ca2Ag1S2Br2,-12.1054458,-7.650970539999999,-1.0929957914285713,2907
Ca2Ag1S2Cl2_123_2908.vasp,Ca2Ag1S2Cl2,-12.74914106,-8.264579156249999,-1.1806541651785714,2908
Ca2Ag1S2Cl2_38_2909.vasp,Ca2Ag1S2Cl2,-13.17296789,-8.68840598625,-1.2412008551785714,2909
Ca2Ag1S2F2_38_2910.vasp,Ca2Ag1S2F2,-15.7002203,-11.493292744999998,-1.6418989635714285,2910
Ca2Ag1S2I2_123_2911.vasp,Ca2Ag1S2I2,-10.68933143,-6.846472734999999,-0.9780675335714284,2911
Ca2Ag1Se2Br2_38_2912.vasp,Ca2Ag1Se2Br2,-9.96519598,-4.533310005000001,-0.647615715,2912
Ca2Ag1Se2Cl2_38_2913.vasp,Ca2Ag1Se2Cl2,-11.106358,-5.64438538125,-0.80634076875,2913
Ca2Ag1Se2F2_38_2914.vasp,Ca2Ag1Se2F2,-13.8428569,-8.65851863,-1.236931232857143,2914
Ca2Ag1Se2I2_38_2915.vasp,Ca2Ag1Se2I2,-8.62042267,-3.80015326,-0.5428790371428571,2915
Ca2Ag1Te2Br2_38_2916.vasp,Ca2Ag1Te2Br2,-7.45290135,-3.133412465,-0.4476303521428572,2916
Ca2Ag1Te2Cl2_38_2917.vasp,Ca2Ag1Te2Cl2,-8.6574407,-4.3078651712500005,-0.6154093101785715,2917
Ca2Ag1Te2F2_38_2918.vasp,Ca2Ag1Te2F2,-11.55194011,-7.47999893,-1.0685712757142858,2918
Ca2Ag1Te2I2_38_2919.vasp,Ca2Ag1Te2I2,-5.92809616,-2.22022384,-0.3171748342857142,2919
Ca2Ag2_191_2920.vasp,Ca2Ag2,2.69326201,5.6523892700000005,1.4130973175,2920
Ca2As1_164_2921.vasp,Ca2As1,-4.11360794,-1.1651665999999996,-0.3883888666666665,2921
Ca2As1_25_2922.vasp,Ca2As1,-2.79837183,0.1500695100000002,0.05002317,2922
Ca2As2H10O12_7_2923.vasp,Ca2As2H10O12,-115.56612464,-82.29440092,-3.165169266153846,2923
Ca2As2H10O12_7_2924.vasp,Ca2As2H10O12,-114.57379456,-81.30207084,-3.1270027246153846,2924
Ca2As4O12_2_2925.vasp,Ca2As4O12,-79.78507846,-57.3459799,-3.185887772222222,2925
Ca2As4S12_2_2926.vasp,Ca2As4S12,-48.79319123,-24.50247044,-1.3612483577777776,2926
Ca2Au1Br2O2_38_2927.vasp,Ca2Au1Br2O2,-16.22503475,-13.835251495,-1.9764644992857143,2927
Ca2Au1Cl2O2_38_2928.vasp,Ca2Au1Cl2O2,-17.33650531,-14.91663541125,-2.130947915892857,2928
Ca2Au1I2O2_38_2929.vasp,Ca2Au1I2O2,-14.68925181,-12.91108512,-1.8444407314285716,2929
Ca2Au1O2F2_38_2930.vasp,Ca2Au1O2F2,-19.62246012,-17.48022457,-2.497174938571429,2930
Ca2Au1S2Br2_123_2931.vasp,Ca2Au1S2Br2,-11.62512643,-8.92673947,-1.2752484957142856,2931
Ca2Au1S2Br2_38_2932.vasp,Ca2Au1S2Br2,-11.90917713,-9.21079017,-1.315827167142857,2932
Ca2Au1S2Cl2_123_2933.vasp,Ca2Au1S2Cl2,-12.44161445,-9.71314084625,-1.3875915494642856,2933
Ca2Au1S2Cl2_38_2934.vasp,Ca2Au1S2Cl2,-12.99004677,-10.26157316625,-1.4659390237499998,2934
Ca2Au1S2F2_38_2935.vasp,Ca2Au1S2F2,-15.58316135,-13.132322095,-1.8760460135714283,2935
